Episode,Title
S1945E15,The Bashful Buzzard
S1945E16,Peck Up Your Troubles
S1945E17,Hare Tonic
S1945E18,Nasty Quacks
S1946E1,Book Revue
S1946E2,Baseball Bugs
S1946E3,Holiday for Shoestrings
S1946E4,Quentin Quail
S1946E5,Baby Bottleneck
S1946E6,Hare Remover
S1946E7,Daffy Doodles
S1946E8,Hollywood Canine Canteen
S1946E9,Hush My Mouse
S1946E10,Hair-Raising Hare
S1946E11,Kitty Kornered
S1946E12,Hollywood Daffy
S1946E13,Acrobatty Bunny
S1946E14,The Eager Beaver
S1946E15,The Great Piggy Bank Robbery
S1946E16,Bacall to Arms
S1946E17,Of Thee I Sting
S1946E18,Walky Talky Hawky
S1946E19,Racketeer Rabbit
S1946E20,Fair and Worm-er
S1946E21,The Big Snooze
S1946E22,The Mouse-Merized Cat
S1946E23,Mouse Menace
S1946E24,Rhapsody Rabbit
S1946E25,Roughly Squeaking
S1947E1,One Meat Brawl
S1947E2,The Goofy Gophers
S1947E3,The Gay Anties
S1947E4,Scent-imental Over You
S1947E5,A Hare Grows in Manhattan
S1947E6,Birth of a Notion
S1947E7,Tweetie Pie
S1947E8,Rabbit Transit
S1947E9,Hobo Bobo
S1947E10,Along Came Daffy
S1947E11,Inki at the Circus
S1947E12,Easter Yeggs
S1947E13,Crowing Pains
S1947E14,A Pest in the House
S1947E15,The FE Duckling
S1947E16,House Hunting Mice
S1947E17,Little Orphan Airedale
S1947E18,Doggone Cats
S1947E19,Slick Hare
S1947E20,MEcan Joyride
S1947E21,Catch as Cats Can
S1947E22,A Horse Fly Fleas
S1948E1,Gorilla My Dreams
S1948E2,Two Gophers from TEs
S1948E3,A Feather in His Hare
S1948E4,What Makes Daffy Duck
S1948E5,What's Brewin', Bruin?
S1948E6,Daffy Duck Slept Here
S1948E7,A Hick a Slick and a Chick
S1948E8,Back Alley Oproar
S1948E9,I Taw a Putty Tat
S1948E10,Rabbit Punch
S1948E11,Hop, Look and Listen
S1948E12,Nothing But the Tooth
S1948E13,Buccaneer Bunny
S1948E14,Bone Sweet Bone
S1948E15,Bugs Bunny Rides Again
S1948E16,The Rattled Rooster
S1948E17,The Up-Standing Sitter
S1948E18,The Shell Shocked Egg
S1948E19,Haredevil Hare
S1948E20,You Were Never Duckier
S1948E21,Dough Ray Me-ow
S1948E22,Hot Cross Bunny
S1948E23,The Pest That Came to Dinner
S1948E24,Hare Splitter
S1948E25,Odor of the Day
S1948E26,The Foghorn Leghorn
S1948E27,A-Lad-in His Lamp
S1948E28,Daffy Dilly
S1948E29,Kit for Cat
S1948E30,The Stupor Salesman
S1948E31,Riff Raffy Daffy
S1948E32,My Bunny Lies over the Sea
S1948E33,Scaredy Cat
S1949E1,Wise Quackers
S1949E2,Hare Do
S1949E3,Holiday for Drumsticks
S1949E4,Awful Orphan
S1949E5,Porky Chops
S1949E6,Mississippi Hare
S1949E7,Paying the Piper
S1949E8,Daffy Duck Hunt
S1949E9,Rebel Rabbit
S1949E10,Mouse Wreckers
S1949E11,High Diving Hare
S1949E12,The Bee-Deviled Bruin
S1949E13,Curtain Razor
S1949E14,Bowery Bugs
S1949E15,Mouse Mazurka
S1949E16,Long-Haired Hare
S1949E17,Henhouse Henery
S1949E18,Knights Must Fall
S1949E19,Bad Ol' Putty Tat
S1949E20,The Grey Hounded Hare
S1949E21,Often an Orphan
S1949E22,The Windblown Hare
S1949E23,Dough for the Do-Do
S1949E24,Fast and Furry-ous
S1949E25,Each Dawn I Crow
S1949E26,Frigid Hare
S1949E27,Swallow the Leader
S1949E28,Bye, Bye Bluebeard
